yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;yolcu_sayisi
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Emirgan;6276;9501
2025;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Bostancı;32314;72426
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Paşabahçe;1329;3832
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;4922;8449
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;6169;10047
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;37571;72767
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eyüp;24965;34326
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Fener;9861;14997
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;233984;368559
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;7503;14503
2025;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Büyükada;15715;41279
2025;1;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;8330;23676
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;12780;40667
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy Yeni;1;1
2025;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Kartal;18564;49867
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;ORTAKOY;30557;50393
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kuzguncuk;769;1812
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU KADIKOY;142125;218826
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KARAKOY;150047;231513
2025;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Balon;43506;66695
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beylerbeyi;2398;5469
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy (Eski);12831;22070
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Moda;1725;2475
